Description,Class
Refuse Collection - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - General Refuse Q1,Waste Disposal
Utility Water Bill - Fire Sprinklers Q2,Water
H2O Billing - Irrigation System Monthly Invoice,Water
Electricity Supply - Main Plant (December),Electricity
Water Supply - Admin Block Monthly Invoice,Water
Scrap Metal Hauling - General Refuse Container Emptying,Waste Disposal
Electricity Supply - Data Center (Q1),Electricity
Refuse Collection - Pallet Disposal Monthly Fee,Waste Disposal
Electricity Supply - R&D Lab (Monthly),Electricity
Grid Charge - Packaging Facility (December),Electricity
Utility Water Bill - Admin Block Monthly Invoice,Water
Propane Purchase - Warehouse Q4,Heating
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Utility Water Bill - Irrigation System Q3,Water
H2O Billing - Cooling Tower Monthly Invoice,Water
Heating Service - Warehouse Gas Meter Reading,Heating
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Municipal Water - Production Site Q2,Water
Municipal Water - Cooling Tower April,Water
Fuel Oil Delivery - Chemical Storage February,Heating
Gas Consumption - Boiler Room Monthly,Heating
Heating Service - Manufacturing Area Monthly,Heating
Grid Charge - Corporate Office (Year-End),Electricity
Grid Charge - Corporate Office (Q1),Electricity
Power Consumption - Packaging Facility (Semi-Annual),Electricity
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Heating Service - Drying Ovens Gas Meter Reading,Heating
Kwh Usage - Main Plant (January),Electricity
Hazardous Waste Pickup - Recyclable Materials Weekly Service,Waste Disposal
Refuse Collection - Solvent Waste Weekly Service,Waste Disposal
Gas Consumption - Manufacturing Area Monthly,Heating
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Propane Purchase - Warehouse February,Heating
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
Natural Gas Supply - Drying Ovens Q4,Heating
Utility Water Bill - Admin Block July,Water
Gas Consumption - Warehouse Winter Season,Heating
Natural Gas Supply - Warehouse October,Heating
Propane Purchase - Chemical Storage Q4,Heating
Water Charges - Laboratory April,Water
H2O Billing - Laboratory Q3,Water
Municipal Water - Admin Block April,Water
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
H2O Billing - Production Site July,Water
Hazardous Waste Pickup - Pallet Disposal Container Emptying,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Electrical Service - Production Line 3 (Q3),Electricity
Electrical Service - Production Line 3 (Q3),Electricity
Fuel Oil Delivery - Warehouse October,Heating
Grid Charge - Corporate Office (January),Electricity
Gas Consumption - Drying Ovens Monthly,Heating
Electrical Service - Main Plant (January),Electricity
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Laboratory Meter Reading,Water
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
Grid Charge - Main Plant (Monthly),Electricity
Natural Gas Supply - Warehouse Peak Demand,Heating
Kwh Usage - Packaging Facility (Year-End),Electricity
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Municipal Water - Production Site Annual Fee,Water
Municipal Water - Fire Sprinklers April,Water
Gas Consumption - Manufacturing Area Gas Meter Reading,Heating
Natural Gas Supply - Office Building 2 February,Heating
Natural Gas Supply - Manufacturing Area Monthly,Heating
Waste Disposal - Industrial Debris Q1,Waste Disposal
Refuse Collection - General Refuse Q1,Waste Disposal
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Q1,Waste Disposal
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Municipal Water - Cooling Tower Meter Reading,Water
Fuel Oil Delivery - Boiler Room Q4,Heating
Municipal Water - Admin Block July,Water
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
H2O Billing - Laboratory July,Water
Gas Consumption - Warehouse Peak Demand,Heating
Chemical Waste Removal - General Refuse Monthly Fee,Waste Disposal
Water Supply - Laboratory July,Water
Heating Service - Office Building 2 Gas Meter Reading,Heating
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Utility Water Bill - Cooling Tower July,Water
Fuel Oil Delivery - Chemical Storage October,Heating
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Grid Charge - R&D Lab (January),Electricity
Fuel Oil Delivery - Office Building 2 Gas Meter Reading,Heating
Electrical Service - Data Center (Semi-Annual),Electricity
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Electricity Supply - R&D Lab (Q1),Electricity
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Refuse Collection - Recyclable Materials Container Emptying,Waste Disposal
Utility Water Bill - Laboratory Q3,Water
H2O Billing - Laboratory April,Water
Gas Consumption - Office Building 2 Gas Meter Reading,Heating
Waste Disposal - Pallet Disposal Weekly Service,Waste Disposal
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Heating Service - Boiler Room October,Heating
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Heating Service - Manufacturing Area Peak Demand,Heating
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Natural Gas Supply - Manufacturing Area February,Heating
Electricity Supply - Production Line 3 (January),Electricity
Heating Service - Manufacturing Area October,Heating
Fuel Oil Delivery - Office Building 2 February,Heating
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Heating Service - Boiler Room Monthly,Heating
H2O Billing - Irrigation System Meter Reading,Water
Grid Charge - Packaging Facility (December),Electricity
Grid Charge - Corporate Office (Q3),Electricity
H2O Billing - Cooling Tower Q2,Water
Fuel Oil Delivery - Drying Ovens Monthly,Heating
H2O Billing - Laboratory Q2,Water
Fuel Oil Delivery - Warehouse Winter Season,Heating
Kwh Usage - Production Line 3 (Monthly),Electricity
Electrical Service - R&D Lab (January),Electricity
Grid Charge - Packaging Facility (Q3),Electricity
Natural Gas Supply - Manufacturing Area February,Heating
Electrical Service - Production Line 3 (Monthly),Electricity
Electrical Service - Production Line 3 (Year-End),Electricity
Refuse Collection - Recyclable Materials Weekly Service,Waste Disposal
Propane Purchase - Chemical Storage October,Heating
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Water Charges - Fire Sprinklers Monthly Invoice,Water
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Fuel Oil Delivery - Drying Ovens Monthly,Heating
Propane Purchase - Manufacturing Area Winter Season,Heating
Kwh Usage - Data Center (December),Electricity
Utility Water Bill - Production Site Meter Reading,Water
Electricity Supply - Production Line 3 (Year-End),Electricity
Gas Consumption - Drying Ovens Monthly,Heating
Fuel Oil Delivery - Warehouse Q4,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Power Consumption - Production Line 3 (Semi-Annual),Electricity
Heating Service - Office Building 2 Gas Meter Reading,Heating
Grid Charge - Packaging Facility (Year-End),Electricity
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Waste Disposal - Solvent Waste Q1,Waste Disposal
Utility Water Bill - Irrigation System Q2,Water
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Water Charges - Laboratory Annual Fee,Water
Gas Consumption - Office Building 2 Q4,Heating
Hazardous Waste Pickup - Industrial Debris Weekly Service,Waste Disposal
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Natural Gas Supply - Drying Ovens Monthly,Heating
H2O Billing - Fire Sprinklers Q3,Water
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Grid Charge - Production Line 3 (December),Electricity
Electrical Service - Corporate Office (Q3),Electricity
Electrical Service - Corporate Office (Semi-Annual),Electricity
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Kwh Usage - Main Plant (Q1),Electricity
Water Supply - Admin Block April,Water
Heating Service - Warehouse Winter Season,Heating
Gas Consumption - Warehouse Gas Meter Reading,Heating
Natural Gas Supply - Warehouse Gas Meter Reading,Heating
Municipal Water - Admin Block Q2,Water
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Manufacturing Area Q4,Heating
Kwh Usage - Packaging Facility (December),Electricity
Heating Service - Manufacturing Area Q4,Heating
Water Charges - Cooling Tower Q3,Water
Gas Consumption - Boiler Room October,Heating
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Water Charges - Production Site April,Water
Propane Purchase - Warehouse October,Heating
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Water Charges - Cooling Tower April,Water
Electricity Supply - R&D Lab (December),Electricity
Kwh Usage - Data Center (Q3),Electricity
Water Supply - Cooling Tower July,Water
H2O Billing - Fire Sprinklers Q2,Water
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
H2O Billing - Laboratory April,Water
H2O Billing - Fire Sprinklers July,Water
Scrap Metal Hauling - Solvent Waste Q1,Waste Disposal
Electrical Service - Packaging Facility (January),Electricity
Kwh Usage - North Warehouse (Year-End),Electricity
Propane Purchase - Chemical Storage Winter Season,Heating
Power Consumption - Production Line 3 (Semi-Annual),Electricity
Natural Gas Supply - Warehouse Peak Demand,Heating
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
Scrap Metal Hauling - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Production Line 3 (Quarterly),Electricity
Utility Water Bill - Production Site July,Water
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Fuel Oil Delivery - Office Building 2 Monthly,Heating
Grid Charge - Data Center (January),Electricity
Heating Service - Manufacturing Area February,Heating
Kwh Usage - Data Center (January),Electricity
Power Consumption - North Warehouse (January),Electricity
Heating Service - Chemical Storage Monthly,Heating
Electrical Service - Data Center (Monthly),Electricity
Electricity Supply - Main Plant (December),Electricity
Heating Service - Manufacturing Area Peak Demand,Heating
Electrical Service - Packaging Facility (Year-End),Electricity
Scrap Metal Hauling - Solvent Waste Monthly Fee,Waste Disposal
Kwh Usage - Packaging Facility (Semi-Annual),Electricity
Power Consumption - Production Line 3 (Year-End),Electricity
Hazardous Waste Pickup - Recyclable Materials Weekly Service,Waste Disposal
Power Consumption - Data Center (Semi-Annual),Electricity
Power Consumption - Data Center (Year-End),Electricity
Water Supply - Admin Block April,Water
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Q1,Waste Disposal
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Grid Charge - R&D Lab (December),Electricity
Water Supply - Laboratory Q3,Water
Hazardous Waste Pickup - Industrial Debris Monthly Fee,Waste Disposal
Natural Gas Supply - Chemical Storage October,Heating
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Water Charges - Fire Sprinklers Meter Reading,Water
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Gas Consumption - Warehouse October,Heating
Gas Consumption - Office Building 2 Q4,Heating
Grid Charge - Corporate Office (Monthly),Electricity
Gas Consumption - Warehouse February,Heating
Municipal Water - Laboratory Q3,Water
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Grid Charge - R&D Lab (Quarterly),Electricity
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Electrical Service - Corporate Office (January),Electricity
Electricity Supply - Production Line 3 (Year-End),Electricity
Fuel Oil Delivery - Boiler Room Winter Season,Heating
Electricity Supply - Main Plant (December),Electricity
Electricity Supply - Main Plant (Q1),Electricity
Fuel Oil Delivery - Warehouse Gas Meter Reading,Heating
Electrical Service - North Warehouse (January),Electricity
Natural Gas Supply - Chemical Storage Q4,Heating
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Heating Service - Warehouse October,Heating
Electricity Supply - Data Center (Q3),Electricity
Electricity Supply - R&D Lab (Quarterly),Electricity
Electricity Supply - R&D Lab (Semi-Annual),Electricity
Electrical Service - Production Line 3 (Q1),Electricity
Power Consumption - Corporate Office (December),Electricity
Propane Purchase - Office Building 2 February,Heating
Propane Purchase - Office Building 2 Winter Season,Heating
Electricity Supply - North Warehouse (December),Electricity
Refuse Collection - Recyclable Materials Monthly Fee,Waste Disposal
Grid Charge - Data Center (Quarterly),Electricity
Power Consumption - Data Center (Monthly),Electricity
Gas Consumption - Warehouse Q4,Heating
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Water Charges - Production Site Annual Fee,Water
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Electrical Service - Data Center (Q3),Electricity
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Propane Purchase - Chemical Storage Winter Season,Heating
Kwh Usage - R&D Lab (Year-End),Electricity
Propane Purchase - Manufacturing Area Peak Demand,Heating
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Electrical Service - R&D Lab (Semi-Annual),Electricity
Waste Disposal - Industrial Debris Container Emptying,Waste Disposal
H2O Billing - Irrigation System Annual Fee,Water
Fuel Oil Delivery - Boiler Room October,Heating
Kwh Usage - Main Plant (Q3),Electricity
Water Charges - Fire Sprinklers April,Water
Propane Purchase - Chemical Storage February,Heating
Kwh Usage - Corporate Office (Year-End),Electricity
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Manufacturing Area Peak Demand,Heating
H2O Billing - Admin Block Monthly Invoice,Water
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Water Charges - Production Site Monthly Invoice,Water
Utility Water Bill - Production Site Q3,Water
